"エリア記号","エリア名","施設名","区分","価格帯目安","特徴メモ","掲載方針","個別ページ","スラッグ","記事URL"
"A","舞浜エリア","東京ディズニーランドホテル","直営（ラグジュアリー）","¥80,000〜","TDL徒歩約1分","normal","TRUE","tdl-hotel","https://urayasu-portal.com/travel-guide/hotels/tdl-hotel/"
"A","舞浜エリア","東京ディズニーシー・ホテルミラコスタ","直営（ラグジュアリー）","¥80,000〜","TDS内・専用入口","normal","TRUE","miracosta","https://urayasu-portal.com/travel-guide/hotels/miracosta/"
"A","舞浜エリア","ファンタジースプリングスホテル","直営（ラグジュアリー）","¥80,000〜","TDS新エリア直結（2024年開業）","normal","TRUE","fantasy-springs-hotel","https://urayasu-portal.com/travel-guide/hotels/fantasy-springs-hotel/"
"A","舞浜エリア","ディズニーアンバサダーホテル","直営（ラグジュアリー）","¥60,000〜","舞浜駅徒歩約8分","normal","TRUE","ambassador-hotel","https://urayasu-portal.com/travel-guide/hotels/ambassador-hotel/"
"A","舞浜エリア","トイ・ストーリーホテル","直営（バリュー）","¥30,000〜","ベイサイド・ステーション徒歩約3分","normal","TRUE","toy-story-hotel","https://urayasu-portal.com/travel-guide/hotels/toy-story-hotel/"
"A","舞浜エリア","東京ディズニーセレブレーションホテル（ウィッシュ）","パートナーホテル","¥20,000〜","ハッピーエントリー特典付き","normal","TRUE","celebration-wish","https://urayasu-portal.com/travel-guide/hotels/celebration-wish/"
"A","舞浜エリア","東京ディズニーセレブレーションホテル（ディスカバー）","パートナーホテル","¥20,000〜","ハッピーエントリー特典付き","normal","TRUE","celebration-discover","https://urayasu-portal.com/travel-guide/hotels/celebration-discover/"
"A","舞浜エリア","ホテルオークラ東京ベイ","オフィシャルホテル","¥50,000〜","専用シャトル運行","normal","TRUE","hotel-okura-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/hotel-okura-tokyo-bay/"
"A","舞浜エリア","グランドニッコー東京ベイ舞浜","オフィシャルホテル","¥40,000〜","専用シャトル運行","normal","TRUE","grand-nikko-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/grand-nikko-tokyo-bay/"
"A","舞浜エリア","シェラトン・グランデ・トーキョーベイ","オフィシャルホテル","¥35,000〜","大浴場「舞湯」・大型プール","normal","TRUE","sheraton-grande-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/sheraton-grande-tokyo-bay/"
"A","舞浜エリア","ヒルトン東京ベイ","オフィシャルホテル","¥30,000〜","館内24時間コンビニ","normal","TRUE","hilton-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/hilton-tokyo-bay/"
"A","舞浜エリア","東京ベイ舞浜ホテル ファーストリゾート","オフィシャルホテル","¥20,000〜","コインランドリー完備","normal","TRUE","maihama-hotel-first-resort","https://urayasu-portal.com/travel-guide/hotels/maihama-hotel-first-resort/"
"A","舞浜エリア","ホテルドリームゲート舞浜","オフィシャルホテル","¥15,000〜","JR舞浜駅改札直結","normal","TRUE","dreamgate-maihama","https://urayasu-portal.com/travel-guide/hotels/dreamgate-maihama/"
"A","舞浜エリア","舞浜ビューホテル by HULIC","一般ホテル","¥12,000〜","大浴場「スパ ローズ」","normal","TRUE","maihama-view-hotel","https://urayasu-portal.com/travel-guide/hotels/maihama-view-hotel/"
"B","千鳥エリア","ザロイヤルパークホテル舞浜リゾート東京ベイ","一般ホテル","¥18,000〜","2026年2月開業・最大6名対応","normal","TRUE","royal-park-maihama","https://urayasu-portal.com/travel-guide/hotels/royal-park-maihama/"
